,close,predictions,to change,buy & hold result,algo result from "yesterday"
4749,1128.09,0,-0.001072609,1151.194473,1205.470014
4750,1126.88,1,-0.00118025,1149.959691,1205.470014
4751,1125.55,1,-0.000568611,1148.602451,1204.047259
4752,1124.91,0,0.00154679,1147.949343,1203.362624
4753,1126.65,0,0.002094706,1149.72498,1203.362624
4754,1129.01,0,0.000868017,1152.133316,1203.362624
4755,1129.99,0,-8.84964E-06,1153.133387,1203.362624
4756,1129.98,1,-0.004876192,1153.123182,1203.362624
4757,1124.47,1,0.003281546,1147.500332,1197.494796
4758,1128.16,0,0.000124096,1151.265907,1201.424431
4759,1128.3,1,-0.000257024,1151.408774,1201.424431
4760,1128.01,0,0,1151.112835,1201.115636
4761,1128.01,0,-8.86517E-06,1151.112835,1201.115636
4762,1128,0,8.86525E-06,1151.10263,1201.115636
4763,1128.01,0,0,1151.112835,1201.115636
4764,1128.01,0,0.003262382,1151.112835,1201.115636
4765,1131.69,1,5.30181E-05,1154.868205,1201.115636
4766,1131.75,0,-0.000388778,1154.929434,1201.179317
4767,1131.31,1,0.000176786,1154.480422,1201.179317
4768,1131.51,0,-0.000866099,1154.684518,1201.391669
4769,1130.53,1,-0.001680628,1153.684447,1201.391669
4770,1128.63,1,-0.002312538,1151.745533,1199.372577
4771,1126.02,1,-6.21659E-05,1149.082077,1196.598982
4772,1125.95,0,-0.000159865,1149.010644,1196.524594
4773,1125.77,1,-0.000381961,1148.826957,1196.524594
4774,1125.34,0,-0.0002577,1148.38815,1196.067569
4775,1125.05,0,-0.00241767,1148.092211,1196.067569
4776,1122.33,1,-0.003644204,1145.316502,1196.067569
4777,1118.24,0,-0.002807984,1141.142735,1191.708854
4778,1115.1,1,0.002851762,1137.938424,1191.708854
4779,1118.28,0,-0.004989806,1141.183554,1195.107324
4780,1112.7,1,-0.000997573,1135.48927,1195.107324
4781,1111.59,1,0.001187488,1134.356536,1193.915117
4782,1112.91,1,-0.008958496,1135.703571,1195.332877
4783,1102.94,0,0.008740276,1125.529375,1184.624492
4784,1112.58,0,-0.011495803,1135.366812,1184.624492
4785,1099.79,0,-0.003973486,1122.314859,1184.624492
4786,1095.42,0,-0.003888919,1117.855357,1184.624492
4787,1091.16,0,0.00757909,1113.508108,1184.624492
4788,1099.43,0,-0.006776239,1121.947486,1184.624492
4789,1091.98,1,-0.000219784,1114.344902,1184.624492
4790,1091.74,1,-0.000274791,1114.099987,1184.36413
4791,1091.44,0,-0.000797112,1113.793842,1184.038678
4792,1090.57,1,0.000128373,1112.906024,1184.038678
4793,1090.71,0,0.00717881,1113.048891,1184.190677
4794,1098.54,0,0.003477343,1121.039258,1184.190677
4795,1102.36,0,0.002957292,1124.937496,1184.190677
4796,1105.62,0,-0.001781806,1128.264264,1184.190677
4797,1103.65,0,-0.000779233,1126.253916,1184.190677
4798,1102.79,0,0.000788908,1125.376302,1184.190677
