date,open,high,low,close,volume,change
10/17/2016,640.1,641.3,634.9,637.4,27690,0.004235959
10/16/2016,637,642.2,636.4,640.1,12890,-0.004842993
10/15/2016,637.9,641.4,635.1,637,12380,0.001412873
10/14/2016,635.6,640.5,630.7,637.9,31420,-0.003605581
10/13/2016,636,639.5,632.3,635.6,25620,0.000629327
10/12/2016,640.5,642.5,632.2,636,26950,0.007075472
10/11/2016,617.3,642.3,615.6,640.5,55770,-0.036221702
10/10/2016,615.8,618.8,612.8,617.3,25230,-0.002429937
10/9/2016,617.7,618.3,613,615.8,13430,0.003085417
10/8/2016,616,619.6,614.9,617.7,13620,-0.002752145
10/7/2016,611,619.4,609.1,616,32730,-0.008116883
10/6/2016,611.8,612.7,608.5,611,21630,0.001309329
10/5/2016,609,613.7,608,611.8,23400,-0.004576659
10/4/2016,611.6,612.7,606.5,609,24990,0.004269294
10/3/2016,610.7,613.2,608.5,611.6,21950,-0.00147155
10/2/2016,613.4,614.2,607.7,610.7,16540,0.004421156
10/1/2016,608.1,615,607.1,613.4,16930,-0.008640365
9/30/2016,604.7,608.8,602.3,608.1,23950,-0.005591186
9/29/2016,604.7,607.2,602,604.7,25320,0
9/28/2016,605.5,606.9,602.6,604.7,18940,0.00132297
9/27/2016,606.5,609,601.7,605.5,25550,0.001651528
9/26/2016,601.5,608.5,598.2,606.5,27510,-0.008244023
9/25/2016,602.6,604.9,598.3,601.5,13280,0.001828761
9/24/2016,602.9,605.9,600.5,602.6,13470,0.000497843
9/23/2016,595.6,603.7,594.1,602.9,25920,-0.012108144
9/22/2016,597.2,599.8,592.8,595.6,22440,0.002686367
9/21/2016,609.2,608.8,591.7,597.2,36860,0.020093771
9/20/2016,609.8,611.3,605.9,609.2,22610,0.000984898
9/19/2016,610.7,612.4,607,609.8,21240,0.001475894
9/18/2016,607.1,612.4,605.2,610.7,16330,-0.005894875
9/17/2016,607.8,609.6,604.5,607.1,15890,0.001153023
9/16/2016,608.1,610.4,605.2,607.8,21850,0.000493583
9/15/2016,609.5,610.7,605.1,608.1,22690,0.002302253
9/14/2016,608.6,612.2,606.4,609.5,24240,-0.00147662
9/13/2016,608,612,604.9,608.6,27520,-0.000985869
9/12/2016,605.6,610.6,603,608,27950,-0.003947368
9/11/2016,624.5,630.8,592.8,605.6,36540,0.031208719
9/10/2016,623.2,627.5,621.1,624.5,15280,-0.002081665
9/9/2016,625.6,627.6,617.3,623.2,28330,0.003851091
9/8/2016,613.2,629.3,611.3,625.6,36330,-0.019820972
9/7/2016,610.4,616.5,606.2,613.2,30030,-0.00456621
9/6/2016,605.8,612,603.5,610.4,24330,-0.007536042
9/5/2016,609.5,610.6,598.8,605.8,25290,0.006107626
9/4/2016,598.8,615.2,590.8,609.5,30690,-0.017555373
9/3/2016,575.3,605,572.6,598.8,35700,-0.039245157
9/2/2016,572,577.6,569.3,575.3,26610,-0.005736138
9/1/2016,573.9,705,569.4,572,25870,0.003321678
8/31/2016,577.3,578.3,571.7,573.9,24930,0.005924377
8/30/2016,574.2,579.9,572.5,577.3,27480,-0.005369825
8/29/2016,575,578.6,571.4,574.2,23860,0.001393243
8/28/2016,570.3,576.3,569.2,575,12830,-0.008173913
8/27/2016,579.4,580.4,567.3,570.3,18690,0.015956514
8/26/2016,578,582.7,575.8,579.4,21170,-0.002416293
8/25/2016,579.7,580.7,570.8,578,32730,0.002941176
8/24/2016,583.6,584.5,576.8,579.7,28060,0.006727618
8/23/2016,587.5,589.9,578.6,583.6,32080,0.006682659
8/22/2016,580.7,591.9,577.1,587.5,33560,-0.011574468
8/21/2016,582.6,585.3,577.8,580.7,14160,0.003271913
8/20/2016,574.6,583.5,572.3,582.6,23120,-0.013731548
8/19/2016,573.4,577.9,566.3,574.6,25530,-0.002088409
8/18/2016,572.3,579.5,570.8,573.4,30390,-0.001918382
8/17/2016,580.2,581.1,568.7,572.3,32760,0.013803949
8/16/2016,567,583.4,563.4,580.2,37690,-0.022750776
8/15/2016,569.1,575,559.3,567,33770,0.003703704
8/14/2016,584.6,585.8,559.9,569.1,33070,0.027235987
8/13/2016,587.1,590.1,582.8,584.6,19300,0.004276428
8/12/2016,587.8,591.1,582.2,587.1,25500,0.001192301
8/11/2016,590.9,599.2,585.4,587.8,39830,0.005273903
8/10/2016,585.3,600.5,580.9,590.9,49570,-0.009477069
8/9/2016,589.2,591.2,581.1,585.3,25970,0.00666325
8/8/2016,590.8,594.2,585.4,589.2,24880,0.002715547
8/7/2016,586.5,596,580.9,590.8,26200,-0.007278267
8/6/2016,574.7,596.7,565.3,586.5,25380,-0.020119352
8/5/2016,576.2,580,565.8,574.7,27890,0.002610057
8/4/2016,566.4,584.9,559.5,576.2,44820,-0.017007983
8/3/2016,513.4,573.1,514.1,566.4,85930,-0.093573446
8/2/2016,607,613.8,471.4,513.4,130910,0.182313985
8/1/2016,621.9,627.9,603.5,607,66660,0.024546952
7/31/2016,654.7,654.9,621.4,621.9,62890,0.052741598
7/30/2016,655.4,657.5,652.1,654.7,19350,0.001069192
7/29/2016,654.1,657.4,651,655.4,27040,-0.001983522
7/28/2016,654.5,658,650.8,654.1,28110,0.000611527
7/27/2016,654.4,659.1,646,654.5,29890,-0.000152788
7/26/2016,654,657.8,643.5,654.4,49390,-0.000611247
7/25/2016,659.3,662.5,651.1,654,34380,0.008103976
7/24/2016,655.2,664.2,651,659.3,29820,-0.006218717
7/23/2016,651.1,658.2,648,655.2,29890,-0.006257631
7/22/2016,664.6,669.4,645.7,651.1,65900,0.020734142
7/21/2016,664.4,666.5,657.8,664.6,32170,-0.000300933
7/20/2016,671.1,672.3,659.5,664.4,37560,0.010084287
7/19/2016,670.4,673.2,663.6,671.1,30400,-0.001043064
7/18/2016,676.3,680.4,664.6,670.4,42580,0.008800716
7/17/2016,660.7,680.9,660.1,676.3,46840,-0.023066686
7/16/2016,664.2,665.4,655.7,660.7,20390,0.005297412
7/15/2016,657.3,667.5,656.5,664.2,35830,-0.010388437
7/14/2016,661.2,661.9,646.3,657.3,48200,0.005933364
7/13/2016,670.6,672,656,661.2,62960,0.014216576
7/12/2016,646.7,673.2,644.6,670.6,66590,-0.035639726
7/11/2016,647.1,657.5,640,646.7,45940,0.000618525
7/10/2016,651.8,652,636.8,647.1,29260,0.007263174
7/9/2016,662.8,663.5,620.7,651.8,96010,0.016876342
7/8/2016,635.3,663.4,630.2,662.8,75890,-0.041490646
7/7/2016,672.7,676.2,605,635.3,153610,0.058869825
7/6/2016,663.7,678.4,662.2,672.7,47050,-0.013378921
7/5/2016,675.2,679.2,657.3,663.7,54640,0.017327106
7/4/2016,661.6,679,644,675.2,63910,-0.02014218
7/3/2016,698.1,701.5,644.6,661.6,99270,0.055169287
7/2/2016,674.6,700.5,671.5,698.1,67380,-0.033662799
7/1/2016,670,685.1,661.1,674.6,92230,-0.006818856
6/30/2016,636.5,673,631.2,670,88200,-0.05
6/29/2016,644.9,645.9,621.8,636.5,80220,0.013197172
6/28/2016,644.7,659.3,634.3,644.9,76660,-0.000310126
6/27/2016,625.4,650.3,615.2,644.7,99810,-0.029936405
6/26/2016,663.5,665.2,609.9,625.4,88930,0.060921011
6/25/2016,656.9,688.1,640.8,663.5,100460,-0.009947249
6/24/2016,620.8,687.4,616.4,656.9,196690,-0.054955092
6/23/2016,590.6,629.5,539.3,620.8,261740,-0.048646907
6/22/2016,667.4,677.8,586.6,590.6,202320,0.13003725
6/21/2016,734,732.2,626,667.4,248080,0.099790231
6/20/2016,761,764.6,717.4,734,112290,0.036784741
6/19/2016,753.8,765.1,740.4,761,60450,-0.009461235
6/18/2016,743.9,776,727.1,753.8,120530,-0.013133457
6/17/2016,761.2,771.9,704.2,743.9,215870,0.023255814
6/16/2016,690.8,769.7,687.4,761.2,229570,-0.092485549
6/15/2016,685.1,695.1,670.5,690.8,78620,-0.008251303
6/14/2016,700.1,702.5,654.7,685.1,135650,0.021894614
6/13/2016,666.5,718.2,652.8,700.1,216730,-0.047993144
6/12/2016,591.6,683.8,592.8,666.5,217380,-0.112378095
6/11/2016,577.9,592.6,576.3,591.6,42220,-0.023157539
6/10/2016,574.7,579.3,571.1,577.9,45500,-0.00553729
6/9/2016,580.5,580.7,569.3,574.7,48610,0.010092222
6/8/2016,575.6,582.4,567.8,580.5,49600,-0.008440999
6/7/2016,583.6,591.3,543.6,575.6,84690,0.013898541
6/6/2016,574.9,586.7,571.7,583.6,63680,-0.014907471
6/5/2016,572,583.6,567.8,574.9,64520,-0.005044356
6/4/2016,567,592.7,560.9,572,87410,-0.008741259
6/3/2016,537.1,573.7,534.3,567,106250,-0.052733686
6/2/2016,537.4,541.5,530.5,537.1,52880,0.000558555
6/1/2016,528.9,542.3,521.3,537.4,72410,-0.015816896
5/31/2016,532.3,546.9,513.2,528.9,114080,0.006428436
5/30/2016,516,544.2,512.8,532.3,77530,-0.03062183
5/29/2016,524.2,548,493.2,516,152570,0.015891473
5/28/2016,474,531.8,467,524.2,150170,-0.095764975
5/27/2016,453.3,479.2,452.7,474,135680,-0.043670886
5/26/2016,449.8,454.3,447.7,453.3,37720,-0.007721156
5/25/2016,446.1,451.2,445.4,449.8,37720,-0.008225878
5/24/2016,443.7,447.9,442,446.1,33220,-0.00537996
5/23/2016,439.6,445,438.2,443.7,35900,-0.009240478
5/22/2016,443.6,444.2,436.9,439.6,28740,0.009099181
5/21/2016,442.1,445.2,439.7,443.6,23000,-0.003381425
5/20/2016,442.7,447.8,435.4,442.1,48430,0.001357159
5/19/2016,454.2,455.2,441.1,442.7,59390,0.02597696
5/18/2016,453.3,456.6,452.4,454.2,32610,-0.001981506
5/17/2016,454.9,456.3,451.7,453.3,34630,0.003529671
5/16/2016,458.1,459.6,450.7,454.9,36600,0.007034513
5/15/2016,456.4,460.3,455,458.1,21200,-0.00371098
5/14/2016,455.4,457.7,453.6,456.4,20360,-0.00219106
5/13/2016,454.4,457.2,451.5,455.4,32390,-0.002195872
5/12/2016,452.5,455.3,448.4,454.4,49190,-0.004181338
5/11/2016,449.4,456.1,449.6,452.5,39970,-0.006850829
5/10/2016,460.4,462.1,446.8,449.4,59990,0.024477081
5/9/2016,457.9,464.2,455.4,460.4,48420,-0.005430061
5/8/2016,458.5,460.2,454.9,457.9,27600,0.00131033
5/7/2016,459.6,460.6,454.6,458.5,30970,0.002399128
5/6/2016,448.1,461.5,445.7,459.6,68430,-0.025021758
5/5/2016,445.8,449.2,444.4,448.1,41890,-0.005132783
5/4/2016,450.3,450.9,444.2,445.8,39440,0.010094213
5/3/2016,444.2,451.5,441.5,450.3,49750,-0.013546525
5/2/2016,452.2,453.9,440.2,444.2,73850,0.018009905
5/1/2016,448.5,454.2,447.5,452.2,21750,-0.00818222
4/30/2016,455,456.9,446.6,448.5,35310,0.014492754
4/29/2016,448.5,456.3,445.2,455,44850,-0.014285714
4/28/2016,447,450.1,433.9,448.5,81940,-0.003344482
4/27/2016,466,467.9,444.6,447,90810,0.042505593
4/26/2016,461.7,468.9,459.2,466,67560,-0.009227468
4/25/2016,457.6,466.2,451.8,461.7,81660,-0.008880225
4/24/2016,450.1,461.8,447.9,457.6,74430,-0.01638986
4/23/2016,445.3,451.5,443.1,450.1,42360,-0.010664297
4/22/2016,449.3,450.2,441.9,445.3,49710,0.008982708
4/21/2016,441.2,450.8,439.5,449.3,63130,-0.018028044
4/20/2016,434.9,442.9,432.5,441.2,74360,-0.014279238
4/19/2016,427.7,436.1,426.8,434.9,45680,-0.01655553
4/18/2016,426.3,429.1,424.4,427.7,32580,-0.003273322
4/17/2016,430,430.6,423.8,426.3,25590,0.008679334
4/16/2016,428.7,432,426.8,430,29020,-0.003023256
4/15/2016,424,429.5,423.3,428.7,54120,-0.010963378
4/14/2016,423.5,425.4,421.8,424,30660,-0.001179245
4/13/2016,424.7,426.6,421.4,423.5,38090,0.00283353
4/12/2016,421.4,426.7,420.7,424.7,57710,-0.007770191
4/11/2016,420.3,422.4,418.1,421.4,36390,-0.002610346
4/10/2016,418,421.6,416.7,420.3,23300,-0.005472282
4/9/2016,417.7,418.9,412.4,418,29430,-0.000717703
4/8/2016,420.1,423.5,415.5,417.7,46950,0.005745751
4/7/2016,421.3,422,417.9,420.1,36060,0.002856463
4/6/2016,422.1,422.8,419.5,421.3,32670,0.001898884
4/5/2016,419.3,423.7,418,422.1,40890,-0.006633499
4/4/2016,419.1,420.4,416.2,419.3,33440,-0.000476985
4/3/2016,418.5,420.2,417,419.1,22800,-0.001431639
4/2/2016,415.6,420.1,415.1,418.5,31310,-0.00692951
4/1/2016,415.7,416.9,412.8,415.6,38220,0.000240616
3/31/2016,412.4,417.2,411.5,415.7,41840,-0.007938417
3/30/2016,415,416.2,408.4,412.4,43280,0.006304559
3/29/2016,422.2,424.5,406.4,415,69110,0.017349398
3/28/2016,424.6,425.4,419.7,422.2,43450,0.00568451
3/27/2016,416.5,427.4,415.5,424.6,61720,-0.019076778
3/26/2016,415.7,417.7,413.9,416.5,28060,-0.001920768
